院校	层次	录取类别
北京大学	985/211/双一流	ordinary_batch
中国人民大学	985/211/双一流	ordinary_batch
清华大学	985/211/双一流	ordinary_batch
北京交通大学	211/双一流	ordinary_batch
北京工业大学	双一流/普通一本	ordinary_batch
北京航空航天大学	985/211/双一流	ordinary_batch
北京理工大学	985/211/双一流	ordinary_batch
北京科技大学	211/双一流	ordinary_batch
北方工业大学	普通一本	ordinary_batch
北京化工大学	211/双一流	ordinary_batch
北京工商大学	普通一本	ordinary_batch
北京邮电大学	211/双一流	ordinary_batch
北京印刷学院	普通一本	ordinary_batch
北京建筑大学	普通一本	ordinary_batch
北京石油化工学院	普通一本	ordinary_batch
中国农业大学	985/211/双一流	ordinary_batch
北京农学院	普通一本	ordinary_batch
北京林业大学	211/双一流	ordinary_batch
北京协和医学院	双一流/普通一本	ordinary_batch
首都医科大学	双一流/普通一本	ordinary_batch
北京中医药大学	211/双一流	ordinary_batch
北京师范大学	985/211/双一流	ordinary_batch
首都师范大学	双一流/普通一本	ordinary_batch
首都体育学院	普通一本	ordinary_batch
北京外国语大学	211/双一流	ordinary_batch
北京第二外国语学院	普通一本	ordinary_batch
北京语言大学	普通一本	ordinary_batch
中国传媒大学	211/双一流	ordinary_batch
中央财经大学	211/双一流	ordinary_batch
对外经济贸易大学	211/双一流	ordinary_batch
北京物资学院	普通一本	ordinary_batch
首都经济贸易大学	普通一本	ordinary_batch
北京体育大学	双一流/普通一本	ordinary_batch
中央民族大学	985/211/双一流	ordinary_batch
中国政法大学	211/双一流	ordinary_batch
华北电力大学(北京)	211/双一流	ordinary_batch
中华女子学院	普通一本	ordinary_batch
北京信息科技大学	普通一本	ordinary_batch
中国矿业大学(北京)	211/双一流	ordinary_batch
中国石油大学(北京)	211/双一流	ordinary_batch
中国地质大学(北京)	211/双一流	ordinary_batch
中国劳动关系学院	普通一本	ordinary_batch
中国科学院大学	双一流/普通一本	ordinary_batch
中国社会科学院大学	普通一本	ordinary_batch
